date,title,link
2023-11-30,江南大学2024年博士研究生招生简章,https://yz.jiangnan.edu.cn/info/1010/3340.htm
2022-11-03,江南大学2023年博士研究生招生简章,https://yz.jiangnan.edu.cn/info/1010/3226.htm
2022-04-25,江南大学2022年专业学位博士研究生招生简章,https://yz.jiangnan.edu.cn/info/1010/3114.htm
2021-12-10,江南大学2022年学术学位博士研究生招生简章,https://yz.jiangnan.edu.cn/info/1010/3040.htm
2020-11-03,江南大学2021年报考攻读博士学位研究生招生简章,https://yz.jiangnan.edu.cn/info/1010/2849.htm
2019-10-25,江南大学2020年报考攻读博士学位研究生招生简章,https://yz.jiangnan.edu.cn/ionf.jsp?urltype=news.NewsContentUrl&wbtreeid=1010&wbnewsid=2594
2018-10-26,江南大学2019年报考攻读博士学位研究生招生简章,https://yz.jiangnan.edu.cn/ionf.jsp?urltype=news.NewsContentUrl&wbtreeid=1010&wbnewsid=2349
2017-10-30,江南大学2018年报考攻读博士学位研究生招生简章,https://yz.jiangnan.edu.cn/ionf.jsp?urltype=news.NewsContentUrl&wbtreeid=1010&wbnewsid=2112
2016-10-28,江南大学2017年报考攻读博士学位研究生招生简章,https://yz.jiangnan.edu.cn/ionf.jsp?urltype=news.NewsContentUrl&wbtreeid=1010&wbnewsid=1478
2015-11-05,江南大学2016年报考攻读博士学位研究生招生简章,https://yz.jiangnan.edu.cn/ionf.jsp?urltype=news.NewsContentUrl&wbtreeid=1010&wbnewsid=1141
2014-11-12,江南大学2015年报考攻读博士学位研究生招生简章,https://yz.jiangnan.edu.cn/ionf.jsp?urltype=news.NewsContentUrl&wbtreeid=1010&wbnewsid=1140
2013-11-15,江南大学2014年报考攻读博士学位研究生招生简章,https://yz.jiangnan.edu.cn/ionf.jsp?urltype=news.NewsContentUrl&wbtreeid=1010&wbnewsid=1136
2012-11-08,江南大学2013年报考攻读博士学位研究生招生简章,https://yz.jiangnan.edu.cn/ionf.jsp?urltype=news.NewsContentUrl&wbtreeid=1010&wbnewsid=1129
2011-11-04,江南大学2012年报考攻读博士学位研究生招生简章,https://yz.jiangnan.edu.cn/ionf.jsp?urltype=news.NewsContentUrl&wbtreeid=1010&wbnewsid=1116
2010-11-29,江南大学2011年报考攻读博士学位研究生招生简章,https://yz.jiangnan.edu.cn/ionf.jsp?urltype=news.NewsContentUrl&wbtreeid=1010&wbnewsid=1103
